"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"SCRUM-5","Epic","","Project Setup and Architecture","Backlog","","","2026/05/01","2026/05/01","2026/05/10","2026/05/10","purple"
"SCRUM-65","Story","SCRUM-5","Design Architecture","Done","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-66","Story","SCRUM-5","Project Architecture","In Progress","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-6","Epic","","UI/UX Design (Web + App)","Backlog","","","2026/05/01","2026/05/01","2026/05/15","2026/05/15","purple"
"SCRUM-67","Story","SCRUM-6","Website UI Design","Approved","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-68","Story","SCRUM-6","App UI Design","In Progress","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-7","Epic","","Authentication & User Management","Backlog","","","","","","","purple"
"SCRUM-8","Epic","","Billing System (Core)","Backlog","","","","2026/04/30","","2026/05/14","purple"
"SCRUM-22","Story","SCRUM-8","Invoice Generation","In Progress","Aditya","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-23","Story","SCRUM-8","Line Item Management","In Progress","Aditya","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-21","Story","SCRUM-8","Bill CRUD Operations","In Review","Aditya","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-9","Epic","","Dashboard & Reporting","Backlog","","","","2026/04/30","","2026/05/14","purple"
"SCRUM-25","Story","SCRUM-9","Basic Reports","To Do","Aditya","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-24","Story","SCRUM-9","Quick Dashboard","In Review","Aditya","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-10","Epic","","Multi-Tenancy System","Backlog","","","","2026/04/30","","2026/05/14","purple"
"SCRUM-26","Story","SCRUM-10","Tenant Isolation","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-27","Story","SCRUM-10","Organization Setup","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-11","Epic","","GST Calculation Engine","Backlog","","","","2026/04/30","","2026/05/14","purple"
"SCRUM-28","Story","SCRUM-11","Tax Rate Integration","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-29","Story","SCRUM-11","Tax Calculation","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-12","Epic","","GST Returns (GSTR 1, 3B, etc.)","Backlog","","","","2026/04/30","","2026/05/14","purple"
"SCRUM-30","Story","SCRUM-12","GSTR-1 (Outgoing Supplies)","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-31","Story","SCRUM-12","GSTR-2 Retrieval & Processing","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-32","Story","SCRUM-12","GSTR-3B (Consolidated Liability)","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-33","Story","SCRUM-12","GSTR-4 (Composition Scheme)","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-34","Story","SCRUM-12","GSTR-5 (Non-resident taxable persons)","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-35","Story","SCRUM-12","GSTR-6 (ITC Reversal)","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-36","Story","SCRUM-12","GSTR-7 (TDS returns)","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-37","Story","SCRUM-12","GSTR-8 (E-commerce operator returns)","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-38","Story","SCRUM-12","GSTR-9 (Annual Return)","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-13","Epic","","JSON Export System","Backlog","","","","2026/04/30","","2026/05/14","purple"
"SCRUM-40","Story","SCRUM-13","Upload Tracking","To Do","Aditya","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-39","Story","SCRUM-13","JSON File Generation","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-49","Epic","","Compliance Dashboard","Backlog","","","","2026/04/30","","2026/05/14","purple"
"SCRUM-50","Story","SCRUM-49","Filing Status Tracker","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-14","Epic","","Vendor/Customer Management","Backlog","","","","2026/04/30","","2026/05/14","purple"
"SCRUM-41","Story","SCRUM-14","Master Data Management","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-42","Story","SCRUM-14","GSTIN Validation","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-43","Story","SCRUM-14","Vendor Analytics","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-15","Epic","","Mobile App Development","Backlog","","","","2026/04/30","","2026/05/14","purple"
"SCRUM-44","Story","SCRUM-15","Bill Entry on Mobile","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-45","Story","SCRUM-15","Offline Mode","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-46","Story","SCRUM-15","Dashboard (Mobile)","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-47","Story","SCRUM-15","Notifications","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-48","Story","SCRUM-15","Barcode Device Integration","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-51","Epic","","Bulk Import","Backlog","","","","2026/04/30","","2026/05/14","purple"
"SCRUM-52","Story","SCRUM-51","CSV/Excel Import","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-17","Epic","","E-Invoicing & IRN","Backlog","","","","2026/04/30","","2026/05/14","purple"
"SCRUM-53","Story","SCRUM-17","E-Invoice Generation","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-54","Story","SCRUM-17","IRN Tracking","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-55","Story","SCRUM-17","Digital Signature (DSC) Integration","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-18","Epic","","Audit Logs & Compliance","Backlog","","","","2026/04/30","","2026/05/14","purple"
"SCRUM-56","Story","SCRUM-18","Complete Audit Trail","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-57","Story","SCRUM-18","Digital Signature Verification","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-58","Story","SCRUM-18","Compliance Reports","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-59","Epic","","Advanced Compliance","Backlog","","","","2026/04/30","","2026/05/14","purple"
"SCRUM-61","Story","SCRUM-59","Supply Type Classification","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-62","Story","SCRUM-59","ITC Restrictions","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-60","Epic","","Subscription & Payment Module","Backlog","","","","2026/04/30","","2026/05/14","purple"
"SCRUM-63","Story","SCRUM-60","Subscription Management","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-64","Story","SCRUM-60","Payment Integration","Backlog","","SCRUM Sprint 0","","2026/04/30","","2026/05/14","purple"
"SCRUM-19","Epic","","Testing & QA","Backlog","","","","","","","purple"
"SCRUM-20","Epic","","Deployment & DevOps","Backlog","","","","","","","purple"
